taxa,prev,substrate
U. isabellina,1.00,forest litter
U. curvata,1.00,forest litter
A. coerulea,0.88,forest litter
A. cylindrospora,0.63,forest litter
P. verticillata/humilis,0.63,forest litter
M. strictus,0.38,forest litter
U. vinacea,0.38,forest litter
U. angularis,0.25,forest litter
E. lignicola,0.13,forest litter
U. isabellina,1.00,mound surface
U. curvata,1.00,mound surface
A. coerulea,0.63,mound surface
A. cylindrospora,0.63,mound surface
P. verticillata/humilis,0.13,mound surface
M. strictus,0.75,mound surface
U. vinacea,0.63,mound surface
U. angularis,0.63,mound surface
E. lignicola,1.00,mound surface
U. isabellina,1.00,mound interior
U. curvata,0.63,mound interior
A. coerulea,0.88,mound interior
A. cylindrospora,0.75,mound interior
P. verticillata/humilis,0.00,mound interior
M. strictus,0.38,mound interior
U. vinacea,0.38,mound interior
U. angularis,0.75,mound interior
E. lignicola,0.88,mound interior
